number,script,0,0,0
0,そうですね。ありがとうございます。自己分析の方法を教えていただけますか？,#REF!,,
0,今は、放送業界や広告代理店に興味を持っています。ですが、まだ少し興味があるというレベルです。自分にあった仕事の見つけ方について教えていただきたいです。,#REF!,,
0,なるほど。資格で職種が決まるものもあるが、それはほとんど専門性がすごい高い場合に限られるというわけですか。資質ですかぁー。どのようにして資質を測ったりできるんですか？？,#REF!,,
0,ESがうまく書けないことや、ウェブテスト対策をができてないことなどがあります。,#REF!,,
0,こんにちは。自己分析の方法でオススメとかありますか？,#REF!,,
0,どのように業界研究や自己分析をして行けばいいのかが分からないんですが、,#REF!,,
0,前橋工科大学、修士2年、生物工学専攻学校のチラシで知りました。現在、選考が進んでいる会社がゼロになりどうしたら良いのか悩んでいます。また、自分のやりたい事、やりたい仕事がどうしてもわかりません。,#REF!,,
0,不動産、商社、コンサル、といった、自分の専攻とは直接関係のない業界に興味があります。しかし就活の準備としてまず何から始めればいいのかすらわかりません。まずは本などでその業界を調べることからでしょうか,#REF!,,
0,ご連絡ありがとうございます！最近はもっぱら研究が忙しくあまり就職活動に関しての行動ができていません。そろそろ業界研究、自己分析等を始めたいのですが具体的に何から始めていったらよいのでしょうか？,#REF!,,
0,こんにちわ！自己分析について質問があります。自己分析のやり方についてネットでは情報が錯綜しており、どのページを信じていいかわかりません。就活をする上で、オススメの自己分析方法(どの程度の分析が必要かも)などがあれば教えていただきたいです！,#REF!,,
0,就活の軸の定め方や、軸を持った場合どうやってそれにマッチした企業を探すのが効率的ですか？,#REF!,,
0,名前...なんて見てないので！ダイジョブです！(笑)自己分析と並行して業界分析もできるとは思うのですが、そちらについても何か流れや方法といったものがあるのでしょうか,#REF!,,
0,東京工業大学理工学研究科化学専攻修士1年の島村亮汰と申します。 本日は様々な企業のお話を聞くことができ大変勉強になりました。ありがとうございます。 私は就職先が自分にあった企業であってほしいため、自己分析が大事だと考えているのですが、具体的に何をすべきかがよく分かりません。 自己分析方法を教えて頂けると幸いです。,#REF!,,
0,もし自己分析が出来るツールみたいなのがあれば教えていただきたいのですけどありますか？,#REF!,,
0,自己分析のやり方を教えて欲しいです。,#REF!,,
0,自己分析のやり方がわかりません。,#REF!,,
0,自己分析のやり方について教えて頂きたいです。よろしくお願いいたします。,#REF!,,
0,"教育人材業界は自己分析を重視されます。自身のやる気スイッチを見つけていないと面接はかなり厳しいです！
 逆にSPIなどは重視しない。
 
 よろしければ説明しましょうか？",#REF!,,
0,"ありがとうございます！
 
 自己分析もお願いします",#REF!,,
0,自己分析のやり方で、何か参考になるような書籍等あればご紹介いただきたいです,#REF!,,
0,"ありがとうございます！インターンシップ選考に向けて自己分析など進めたいと思います
よろしくお願いします！",#REF!,,
0,"ご連絡が遅れてしまい申し訳ありません。
 業界研究の方法を詳しく教えていただき誠にありがとうございます。
 自己分析の行い方、行う意義も教えていただければ幸いです。",#REF!,,
0,自己分析ってどうやってやればいいんですか？,#REF!,,
0,�@業界研究は具体的にどのような情報源を基に進めていけばよいのでしょうか？�A自己分析は具体的にどのような方法で進めていけばよいのでしょうか？また、就活のために簿記2級取得を目指すという友人がいるのですが、�B簿記といった資格は就活においてどのくらい有効なものなのでしょうか？また、具体的に持っておいた方が良い資格などはあるのでしょうか？質問は以上の3点になります。よろしくお願い致します。,#REF!,,
0,オープンES、また自己分析の行い方はご存知ですか？,#REF!,,
0,"お願いいたします。
 それとインターンの準備とはどういうものが必要ですか？ES書き方、志望理由など",#REF!,,
0,採用するのであれば、長期的に仕事をしていってほしいので。一般的に、できるようになりたいことと、今までしてきたことが重なるのはきれいなロジックになります。自己分析はされました？,#REF!,,
0,"軸をどう定めたら良いか
 分からなくて
 困ってます。どうしたら良いのでしょうか……過去の経験は語れるけれど
 未来の自分が語れません……泣",#REF!,,
0,"改めて自己分析のしかた教えてほしいです。
 
 小学生から高校まで続けたバレーボールについてあまり答えられなくて（；＿；）",#REF!,,
0,自己分析のやり方教えてください,#REF!,,
0,自己分析の仕方がわからない,#REF!,,
0,自己分析のやり方がわからない。,#REF!,,
0,例えば、自己分析から初めて、日程が合うようでしたら８月２０日以前までにやっているインターンに是非参加してみてください。,#REF!,,
0,また自己分析は様々なやり方があるようですが何から手をつければよいかわかりません…どのようにして取り掛かればよいのでしょうか。,#REF!,,
0,自己分析のやり方がわからない。,#REF!,,
0,こんばんは。先ほどマッチャーを通して藤松様にOB訪問させて頂いた、堀田和佳菜です。面接についてやリクルートについてをご丁寧にお話頂きありがとうございました！自己分析のやり方について教えて頂きたいです！よろしくお願い致します。,#REF!,,
0,自己分析ってどうやるの？,#REF!,,
0,ご相談です。就活の初歩的なご相談かもしれませんが、魅力を感じる会社が沢山あり、選ぶことができません。まずは給与、福利厚生、立地で比べてみましたが、会社の雰囲気や仕事内容は比べてもそれぞれの良さがあり、どこが自分に向いている会社なのか分からず、悩んでいます。もしよろしければ、アドバイスを頂けないでしょうか。,#REF!,,
0,"合同説明会へ行き企業の話を聞くのはとても今の時期いいと思います！
 企業を選ぶ前に自己分析は行っておいたほうがいいと思います！よろしければ行う意義、行い方を送らせて頂いてもよろしいでしょうか？",#REF!,,
0,東京理科大学経営学部3年、会計学を専攻しています。ポスティングされていたハガキを見て、登録させていただきました。私はサークルに入っていません。しかし、就職情報サイトにはサークルについて記入する欄があり、就職の際サークルに入っていなかったことはマイナスになるのではないかと不安になってしまいました。サークルに入らなかった理由としては2時間以上通学時間があり、時間的体力的に余裕がなかったこと、アルバイトをしていたこと、授業の予習復習に時間をあてていたことがあります。やはりサークル活動をすることは就職でプラスになるのでしょうか？また今現在私は就職に向けての準備ができていないのですが、自己分析などはどうすればいいのでしょうか？教えていただきたいです。よろしくお願いいたします。,#REF!,,
0,どのように自己分析をしたら良いでしょうか？,#REF!,,
0,"自己分析がなかなか進みません。
 なかなか自分と向き合えません。
 どんな方法がいいでしょうか？",#REF!,,
0,"現在手持ちもなく、内定も１つもありません。４日から少しずつ説明会を新たに入れ始めました。
 自分にどんな企業が向いているのかわからなくなりました。",#REF!,,
0,"面接不安なので電話面談していただきたいです。
 
 1、準備すること
 2、所用時間
 はどのような感じでしょうか？",#REF!,,
0,まずは自分が「どのようなことが得意なのか」「どのような事柄に興味を持てるのか」「どのような環境であればのびのびと仕事ができるのか」などの自己分析をしてみると、優先順位や興味関心がはかれます,#REF!,,
0,通過できるESの書き方、自己分析のやり方を教えて欲しいです。,#REF!,,
0,ありがとうございます！では自己分析の文面をお送りするので、それをみながら明日まで考えておいてください。,#REF!,,
0,"なるほど、ありがとうございます。
 キャリアプラン、作るのはなかなか苦労しそうですね。考える時に参考とするべきものや留意すべき点はありますか？",#REF!,,
0,"よろしくお願い致します！
 電話面談の前に用意しておくべきこと等ございますでしょうか？",#REF!,,
0,"和歌山大学 観光学部
 インスタの広告からしりました。
 自己分析の仕方を教えて欲しいです。",#REF!,,
0,よろしくお願い致します。今回の面談では、モチベーションの源泉と将来像を一緒に考えて行ければと思います。 そこで、普段川上さんが使っている自己PRを400文字程度で送ってもらえますか？,#REF!,,
0,今週の水・木・金の10:00～17:00まででご都合よろしい時間帯はありますか？ また、今回の面談では、モチベーションの源泉と将来像を一緒に考えて行ければと思います。 そこで、普段川上さんが使っている自己PRを400文字程度で送ってもらえますか？ (このLINEにべた打ちでお願いします！),#REF!,,
0,今回の面談では、モチベーションの源泉と将来像を一緒に考えて行ければと思います。 そこで、普段清水さんが使っている自己PRを400文字程度で送ってもらえますか？,#REF!,,
0,こんにちわ！自己分析について質問があります。自己分析のやり方についてネットでは情報が錯綜しており、どのページを信じていいかわかりません。就活をする上で、オススメの自己分析方法(どの程度の分析が必要かも)などがあれば教えていただきたいです！,#REF!,,
1,東京海上日動のインターンの二次選考がグループ面接なのですが、グループ面接はどうすればうまく自分をアピールできるのでしょうか。また東京海上日動にはどういう人がとられやすいでしょうか。,#REF!,,
1,"ありがとうございます。ひとつ気になっているのは来週の水曜日に西武鉄道のインターンの面接があるのですが、面接のお作法や何を気をつければいいか不安です。
教えていただけますか。",#REF!,,
1,面接官はどこ見てるのでしょうか？,#REF!,,
1,持ち駒がなくなってしまい、新しい会社を探しつつも、どの会社に適性があるのか分からない、1.2次面接で落ちてしまうことが悩みです,#REF!,,
1,面接で気をつけることは？,#REF!,,
1,面接で気をつけるところを教えてください。,#REF!,,
1,"理系院生です。一時面接の準備として何をどの程度やっておくのが良いのでしょうか？
回答お願いいたします",#REF!,,
1,どういった対策をすればよいでしょうか。みておくべき、覚えておくべき知識があれば教えて下さい。,#REF!,,
1,"はじめまして！急で申し訳ありません。
 質問なんですが面接でよく聞かれることは何ですか？",#REF!,,
1,面接での心構えは？,#REF!,,
1,面接対策や自己分析など今の時期に行うと良いことは具体的に何かありますか？,#REF!,,
1,面接のコツを教えて下さい,#REF!,,
1,ESは通って次から面接です！,#REF!,,
1,"ありがとうございます。
 今週の金曜日に 
 面接があるのですが
 何を意識すればいいでしょうか？",#REF!,,
1,三菱電機ビルテクノサービス 東急コミュニティー の２つが来週一次面接です,#REF!,,
1,あ、一点伺いたいことがあります。 今度企業のグループ面談というものの予定があるのですが、どういったことを聞かれるのでしょうか。 また、自己紹介というのはどれくらいするのが適量なのでしょうか。自己PRではないので大学、名前、趣味、特技とかの本当の自己紹介みたいなイメージしかないです。,#REF!,,
1,グループ面接についてアドバイスを下さい！,#REF!,,
1,どのようなあるあるでしょうか？例えば面接の注意点や企業探しでよく就活生が困ることなどありますが,#REF!,,
1,面接の心得、知りたいです！お願いします。,#REF!,,
2,その部分は企業にそった書き方をすべきということですか？いまさら聞くのも恥ずかしいのですが、企業研究の仕方やアドバイスがあったら教えていただきたいです。今までのやり方を見つめ直したいので。,#REF!,,
2,前 自己分析のとこまで説明してもらったんですが、3.の企業ポートフォリオの考え方と4.企業の具体的な探し方について教えてもらえませんか？,#REF!,,
2,業界研究は具体的にどのような情報源を基に進めていけばよいのでしょうか？,#REF!,,
2,企業研究が上手くできないので、何かコツとかありませんか^^;？,#REF!,,
2,企業研究、業界研究がなかなか突き詰めれないので、その点アドバイスなどあればよろしくお願いします。,#REF!,,
2,"名前...なんて見てないので！ダイジョブです！(笑)
 
 自己分析と並行して業界分析もできるとは思うのですが、そちらについても何か流れや方法といったものがあるのでしょうか",#REF!,,
3,そうなんですか！軸とは社風とかではないんですか？,#REF!,,
3,自己分析とおそらく軸の探索ですね,#REF!,,
3,ありがとうございます！ところで仕事を選ぶ軸に関してお話はしてますでしょうか？,#REF!,,
4,Webテストについて教えてください。,#REF!,,
4,試験について教えて下さいインターンのプレエントリーを少しずつ始めているのですが、試験の対策について教えていただきたいです。Webテスト、テストセンター等色々な形式がありますし、,#REF!,,
4,SPIの言語が本当にできないのですが対策どうしたらいいですかね？どんな対策がオススメですか？,#REF!,,
4,先程、面接を受けた会社から連絡がきて筆記試験を受けることになったのですが、何を勉強すれば良いのでしょうか,#REF!,,
5,ありがとうございます！返信が大変遅れ、すみません。自己分析はしているのですが、一般的なやり方でないかもしれないので、よろしければ教えていただきたいです。また、就活のタイムラインなどを教えていただけると嬉しいです。,#REF!,,
5,そうなんですね。まだ9月開催のインターンもあるので、気が向いたら応募してみてください。就職活動の進め方ですが、まずは全体像が把握できるようスケジュールについて説明させていただけますか,#REF!,,
5,まずEU離脱の影響ですが、実際に離脱するかどうかはまだ決まっていないうえ、離脱するにしても早くて2年後なので現時点ではあまり心配いりませんよ。面接で話せるかどうかも今のうちから練習しておけばきっと大丈夫です！就活に対する不安は情報不足からくるとも言われますし、もしよろしければ就活の流れについてご説明いたしましょうか？,#REF!,,
5,こちらこそよろしくお願いします！実はまだ全然就活について考えたことがないので知らないことが多いのですが(笑)大まかな就活のスケジュールってどんな感じなんですか？◯年の◯月頃にエントリーシートを書いて～とか、大まかにでいいので教えていただけると助かります！！,#REF!,,
6,お世話になってます。少しずつかたまってきました！質問なのですが、リク面を最終？まで突破すると、どのようなメリットがあるのでしょうか。,#REF!,,
6,ありがとうございます。4社のリクルーターと計7回会いました。また、面接は2社受けています,#REF!,,
6,度々申し訳ありません。先日プレエントリーしていたJR東日本から非通知で電話がかかり、25日に一人でお会いすることになりました。 この出来事はリクルーターによるものなのでしょうか？ また、当日までに行う具体的な対策を教えていただきたいです。,#REF!,,
6,すみませんまた質問です。 ESを出した場合、自由応募が確定すると思うのですが、リクルーターと接触するリクルート面接を行う場合は書かなくて良いのでしょうか？ リクルーターの制度がいまいち分からないので、アドバイスお願い致します。,#REF!,,
7,もし、内定辞退する場合は、最悪いつ頃までいけますかね？,#REF!,,
7,名前、住所、捺印が必要な内定承諾書を提出した後にもし内定辞退したらマズイですかね？,#REF!,,
7,こんにちは！自分今現在、楽天の内定を持っていて、内定承諾書の提出期限が明日までの状況です。しかし、６月1日からの選考に臨みたいため提出するか躊躇われるのですが、この場合一応提出して、他の企業に内定した場合、後から断ったりして宜しいのでしょうか,#REF!,,
7,ある企業に内定通知書を受け取りに来るようにと言われました。内定通知書を受け取ったあとに内定辞退することは可能でしょうか,#REF!,,
7,書類に同意サインをしても、法的拘束力はないと伺いますが、実際、どの段階まで進むと、内定が決定し、辞退できない状態になると言えるのでしょうか？,#REF!,,
8,ありがとうございます！返信が大変遅れ、すみません。自己分析はしているのですが、一般的なやり方でないかもしれないので、よろしければ教えていただきたいです。また、就活のタイムラインなどを教えていただけると嬉しいです,#REF!,,
8,面接で話せるかどうかも今のうちから練習しておけばきっと大丈夫です！ 就活に対する不安は情報不足からくるとも言われますし、もしよろしければ就活の流れについてご説明いたしましょうか？,#REF!,,
8,就職活動の進め方ですが、まずは全体像が把握できるようスケジュールについて説明させていただければと思います。 いかがですか？,#REF!,,
8,こちらこそよろしくお願いします！実はまだ全然就活について考えたことがないので知らないことが多いのですが(笑)大まかな就活のスケジュールってどんな感じなんですか？◯年の◯月頃にエントリーシートを書いて～とか、大まかにでいいので教えていただけると助かります！！,#REF!,,
9,ありがとうございます。 もう少し視野を広げて中小も見てみようと思います。 ・業務の幅が広いこと(ジョブローテーション) ・福利厚生がしっかりしていること(制度を利用できる環境があること) の２つが重要だと考えています。 「働き方」とはこのようなことでいいでしょうか。,#REF!,,
9,企業を絞る方法でなにか良い手はありますでしょうか？,#REF!,,
9,エントリーシートの質問です 『企業や仕事を選択する上で、あなたが大事にしている価値観や軸について記述してください。また、企業のどのような部分を見て、自分の価値観や軸にあってると思うか教えてください』という質問にたいして、軸を述べたあとその企業のどことあうということを記述すればいいのですかね？,#REF!,,
9,就活の軸ってよく耳にするんですけど、具体的にどういったものですか？ 見つけ方、軸による業界、企業の選び方など教えていただきたいです,#REF!,,
9,"ありがとうございます！
 現段階では「やりがいの実感」のほうが、自分が必要とされていることを肌で感じ取れそうですね。
 
 自分に合った仕事を探すのにおすすめの本やサイトがあれば教えてい",#REF!,,
10,軸がないので、それを伺いたくてご連絡させて頂きました,#REF!,,
10,ありがとうございます！ところで仕事を選ぶ軸に関してお話はしてますでしょうか？,#REF!,,
10,自己分析とおそらく軸の探索ですね,#REF!,,
11,最近面接をしていて質問があります集団面接でも、個人面接でも、「最後に何か質問はありますか？」と問われますが、ここでは何か無理矢理にでも質問したほうがいいのでしょうか。面接に行くくらいですから、その企業のことは情報収集してありますし、そこまで質問する内容が思い浮かばないので、私はいつも「大丈夫です」と答えているのですが…。,#REF!,,
11,"では、一つお聞きしたいのが
 面接の最後に逆質問があった場合どのような質問が適切か知りたいです。",#REF!,,
12,ドラッグストア業界を志望しているのですが、差別化が難しい業界のように感じて、企業選びが難航していますどんな情報をどのように集めればよいのでしょうかすごく漠然とした質問で申し訳ありません…,#REF!,,
